heading_area_m2,heading_length_m,explosive_kg,fan_capacity_m3s,duct_distance_from_face_m,temperature_c,humidity_pct,initial_co_ppm,initial_nox_ppm,safe_reentry_time_mins
10.8,147.1,64.7,8.7,9.2,31.9,74.3,998.0,226.21,21.2
23.8,106.9,67.2,19.1,7.3,33.0,64.0,461.0,110.9,15.0
23.0,128.7,60.0,9.5,24.4,31.3,83.7,452.0,73.93,73.2
13.1,45.9,91.8,16.6,5.4,26.2,84.6,2955.0,348.99,15.0
19.6,133.4,94.3,10.9,21.1,35.0,85.2,649.0,175.4,85.7
22.1,140.7,72.8,7.1,20.8,34.7,85.5,458.0,112.79,101.7
17.9,88.4,72.5,5.2,10.9,29.1,60.0,720.0,204.13,39.5
17.5,102.8,129.4,13.2,7.7,29.0,93.4,1657.0,291.29,31.8
12.9,121.8,124.7,19.6,7.9,35.9,88.5,1387.0,297.23,15.0
10.5,51.0,66.9,10.5,18.9,25.9,91.6,2785.0,547.37,18.0
23.4,90.3,139.7,10.4,17.9,36.5,60.5,1038.0,194.24,75.4
23.4,77.8,144.3,10.2,20.7,28.3,92.7,1945.0,456.71,47.9
19.1,47.6,69.2,12.8,23.7,32.7,88.3,1288.0,331.27,36.1
14.4,74.1,72.5,11.6,18.8,37.2,89.3,1617.0,220.17,23.6
14.6,38.2,90.7,18.2,8.1,33.8,63.3,3760.0,618.46,15.0
20.6,33.1,142.9,12.6,9.9,30.4,85.9,5170.0,1094.09,20.1
23.4,46.2,135.2,12.6,21.8,34.0,93.6,2477.0,331.38,36.2
23.2,145.6,42.3,7.1,9.2,29.5,83.7,279.0,39.74,59.1
21.5,95.9,77.1,19.7,6.5,28.6,80.0,700.0,176.59,24.8
19.3,145.9,96.4,8.7,19.1,38.0,93.1,577.0,111.84,55.0
10.3,81.9,90.4,6.1,13.1,34.8,75.5,2072.0,551.42,27.7
11.6,67.4,53.3,14.9,23.4,33.4,81.0,1136.0,171.96,15.0
23.4,90.7,133.1,13.9,18.0,29.6,76.7,1557.0,316.83,33.8
18.7,82.7,111.2,11.2,6.8,25.6,92.6,1147.0,163.41,20.0
9.1,42.7,130.5,11.3,24.0,25.4,62.7,6986.0,685.64,22.1
10.6,106.9,133.1,16.8,10.2,32.2,77.5,2491.0,655.26,15.4
19.6,55.9,119.8,7.9,11.7,34.9,84.0,2226.0,472.36,45.6
9.1,104.4,82.7,17.3,13.0,32.0,87.7,1887.0,297.38,15.0
11.6,108.0,103.3,14.7,6.0,35.9,80.4,1335.0,242.06,15.0
17.8,48.2,49.2,11.3,14.9,25.4,91.8,1180.0,256.48,22.7
20.1,37.4,110.8,11.9,7.5,29.8,93.0,2642.0,596.56,23.3
19.4,123.7,51.5,8.8,13.0,28.1,62.3,523.0,127.87,38.1
12.6,85.2,113.3,16.3,12.0,30.8,74.1,2390.0,626.77,21.2
20.4,37.0,57.6,12.7,20.5,25.9,60.8,1887.0,346.45,26.0
12.8,149.4,44.1,9.8,21.1,37.4,71.5,355.0,87.02,61.2
14.2,36.9,49.8,13.9,8.1,27.9,78.8,1695.0,376.54,15.0
20.9,113.4,30.2,19.9,12.3,37.0,91.9,216.0,60.22,15.0
19.4,148.0,116.2,11.5,12.5,30.5,89.6,612.0,97.43,43.4
22.6,58.7,117.9,18.8,8.0,37.8,64.5,1549.0,294.6,19.8
19.5,47.1,91.8,10.2,21.0,32.2,63.3,2176.0,229.87,20.1
18.1,44.6,49.4,5.8,19.1,37.1,80.6,1060.0,140.4,28.7
10.5,66.4,40.0,8.1,8.8,25.1,78.6,1154.0,159.83,17.6
14.9,42.1,32.3,11.3,12.3,34.7,69.3,1230.0,203.0,17.4
13.2,113.1,49.9,8.3,7.1,36.7,91.5,731.0,171.24,23.9
12.9,37.5,136.9,5.0,17.6,26.8,92.5,5364.0,1116.0,26.6
24.6,91.1,59.0,18.7,7.4,26.2,74.1,493.0,88.04,15.0
15.3,149.6,72.5,17.7,24.7,30.5,91.2,620.0,73.85,29.3
23.3,127.7,42.6,16.1,20.6,37.1,73.4,241.0,60.29,44.1
19.1,103.8,56.7,7.5,12.8,32.1,85.8,610.0,88.19,55.7
21.7,66.8,92.3,6.8,16.6,31.9,76.7,1187.0,283.98,51.0
17.0,104.9,102.9,6.0,23.2,26.8,64.3,1355.0,340.31,114.3
18.2,93.2,59.4,15.9,16.1,25.0,92.5,789.0,85.51,15.0
16.9,81.1,36.9,18.9,8.5,35.5,75.9,569.0,76.81,15.0
12.1,45.7,76.9,11.5,12.6,26.1,85.7,2589.0,540.58,15.0
20.6,136.4,58.1,6.8,21.9,33.2,72.9,354.0,121.72,120.0
13.5,84.0,56.3,12.7,17.9,36.9,60.7,1132.0,253.0,23.8
9.4,53.4,145.2,10.2,18.0,27.7,63.5,5757.0,1620.92,15.0
19.3,74.1,104.0,10.6,22.3,33.6,77.4,1251.0,241.96,57.9
11.8,79.7,96.8,14.3,22.9,26.0,84.1,1740.0,612.73,15.3
24.0,129.3,79.9,15.8,23.4,32.8,71.7,428.0,61.96,47.1
24.3,118.0,81.5,6.7,6.9,27.1,84.3,648.0,62.93,74.0
23.6,122.3,94.9,5.5,15.9,34.6,84.5,568.0,177.99,97.9
14.9,31.3,113.6,19.9,19.8,28.9,84.6,4924.0,1387.13,15.0
9.2,79.9,114.3,8.5,20.1,31.0,77.2,3016.0,365.14,36.4
23.9,87.8,50.6,5.8,17.1,32.8,92.0,503.0,59.31,64.3
15.9,32.3,90.0,7.8,8.3,27.2,77.1,4179.0,374.92,15.0
24.5,61.2,79.4,5.6,20.9,34.6,75.8,1257.0,128.32,54.4
24.4,121.2,134.5,10.9,19.4,28.9,67.0,886.0,128.89,49.8
22.6,46.5,105.8,17.0,6.7,33.6,70.8,1523.0,591.17,16.9
13.7,94.2,93.9,10.1,14.3,27.1,61.5,1400.0,339.49,43.9
15.2,55.8,43.8,11.7,8.5,33.9,82.2,1091.0,264.94,16.1
22.6,31.5,102.7,15.1,11.7,26.7,68.7,2970.0,736.7,15.0
14.1,58.9,44.1,12.6,5.4,30.5,70.6,1143.0,219.97,15.0
11.7,147.1,70.5,17.9,13.0,28.2,87.0,677.0,212.27,29.8
17.9,126.2,47.1,18.0,16.0,34.7,71.5,448.0,91.44,22.5
24.0,145.1,113.0,5.1,17.4,28.4,68.5,547.0,105.83,120.0
20.1,88.5,54.8,16.7,18.3,36.5,65.9,691.0,130.34,19.3
18.1,43.2,77.0,11.9,21.7,36.6,87.1,1811.0,407.05,31.3
10.6,95.8,137.5,19.8,9.3,27.6,64.5,3006.0,720.11,15.0
18.8,84.5,54.5,12.2,7.4,33.0,75.9,530.0,202.91,30.8
24.8,131.3,90.9,19.8,22.0,26.1,77.7,532.0,101.59,36.8
11.2,41.8,80.3,16.3,8.1,30.1,84.1,3772.0,864.37,15.0
17.3,88.6,32.2,8.7,24.5,34.3,82.2,363.0,50.38,27.9
23.0,48.0,125.1,13.1,21.9,33.6,88.4,2597.0,577.86,27.1
20.9,69.0,38.3,19.9,15.0,33.1,61.6,567.0,92.8,15.0
20.2,118.5,86.9,17.9,24.6,28.7,70.4,760.0,78.53,46.8
20.2,87.1,97.3,6.5,6.9,29.9,69.8,1023.0,190.5,36.6
14.8,75.1,105.4,15.6,11.1,26.3,65.1,1886.0,422.66,15.0
13.7,77.3,112.6,10.2,17.8,34.3,70.1,2230.0,263.37,32.9
21.9,85.1,60.4,5.1,12.0,31.6,70.8,637.0,184.09,58.3
22.0,124.2,31.2,11.1,23.6,34.2,78.3,251.0,26.43,26.9
22.9,137.1,116.8,8.5,6.3,28.2,83.2,721.0,213.15,49.2
23.6,144.6,94.3,17.3,16.0,29.2,73.3,470.0,133.29,26.1
17.2,124.4,130.3,10.1,16.8,29.3,85.2,1045.0,202.33,36.5
17.0,67.8,128.6,17.4,18.1,25.3,71.8,1676.0,396.58,15.0
21.8,112.6,131.2,5.0,10.1,29.4,70.2,964.0,265.67,97.4
19.4,82.5,88.2,9.6,12.3,35.4,78.9,1239.0,242.8,30.2
20.2,60.6,70.0,8.6,21.9,36.7,60.8,1311.0,267.89,31.8
21.7,130.9,125.0,8.5,8.9,31.7,62.8,748.0,156.26,43.8
23.2,34.6,84.2,6.0,21.5,30.9,74.6,2573.0,413.39,35.6
14.4,138.2,52.0,7.8,16.3,25.4,93.0,523.0,155.66,94.2
15.0,85.4,132.6,13.3,20.2,36.4,85.3,2501.0,295.49,35.8
10.5,106.5,135.9,9.4,19.3,25.2,63.1,2682.0,446.2,44.0
18.3,109.1,86.0,11.3,9.2,37.3,89.6,959.0,136.69,38.8
9.6,137.4,39.1,10.7,16.4,31.4,85.6,471.0,150.32,37.5
16.4,106.4,76.5,18.1,22.4,29.4,81.4,752.0,221.1,28.2
17.7,103.7,126.4,18.6,13.6,37.0,88.7,1041.0,218.6,35.4
13.6,38.0,138.2,12.4,24.3,25.3,74.1,5934.0,622.68,15.0
18.5,92.2,54.4,10.0,14.0,32.6,67.8,590.0,65.42,15.1
9.5,48.0,38.0,6.6,7.9,32.1,77.9,1909.0,309.71,15.2
9.6,118.5,135.3,19.3,12.8,27.9,79.2,2188.0,433.16,16.3
22.2,91.5,76.7,5.9,24.0,30.6,78.8,878.0,225.36,97.4
14.8,111.6,95.0,9.5,11.4,33.5,79.8,940.0,223.65,28.0
11.0,35.0,146.2,9.5,22.4,34.5,93.2,6334.0,1145.26,15.0
17.4,40.2,38.0,9.8,22.6,25.0,91.6,1003.0,303.18,18.1
21.3,116.0,107.8,7.5,12.0,37.2,90.7,832.0,172.86,45.0
12.5,38.7,38.9,16.7,6.7,27.1,88.0,1494.0,355.28,15.0
19.0,38.6,75.1,6.8,19.5,28.0,93.0,2324.0,244.59,27.2
10.4,31.5,126.5,14.5,11.2,28.4,63.4,6194.0,1369.84,15.0
9.8,144.8,82.0,6.9,20.7,25.5,69.3,1067.0,333.02,43.9
17.5,118.5,149.7,6.1,13.9,26.6,77.3,1687.0,314.48,120.0
17.7,72.4,97.1,18.6,14.7,37.8,89.6,1191.0,256.68,15.0
19.2,65.6,68.5,7.9,20.6,29.1,77.7,1329.0,245.1,40.4
20.6,72.0,56.4,17.3,12.6,26.5,86.2,945.0,214.5,16.2
24.6,123.0,72.1,13.2,13.9,26.4,64.9,378.0,73.72,45.8
17.3,109.4,74.7,6.2,12.5,34.4,68.8,709.0,159.1,63.1
14.2,52.2,38.2,19.3,12.3,36.1,85.6,968.0,301.61,15.0
21.7,50.9,74.3,8.7,15.5,28.3,65.8,1531.0,180.88,29.4
13.3,41.8,85.7,17.9,21.2,25.3,72.3,3223.0,750.12,15.0
16.0,109.2,116.7,7.5,12.2,27.9,69.3,1430.0,297.29,34.4
10.3,121.7,108.8,17.8,15.5,25.7,72.2,1968.0,411.3,25.2
9.4,61.8,115.1,5.2,18.4,26.3,84.8,3202.0,673.88,46.6
24.4,32.5,31.0,12.7,10.4,30.6,72.9,912.0,127.22,15.0
22.4,39.9,56.1,16.5,10.6,28.0,79.4,1388.0,298.05,15.0
20.1,146.1,109.4,19.0,23.7,31.7,63.5,772.0,106.41,52.6
15.5,65.5,88.1,18.6,19.5,28.3,88.2,2069.0,318.48,15.0
11.8,122.3,30.6,17.3,16.5,37.2,72.9,468.0,58.57,15.6
11.5,105.0,126.5,18.3,18.0,36.8,82.7,1784.0,213.1,15.2
13.0,75.8,122.7,8.0,5.6,32.4,85.4,2402.0,731.88,39.2
17.8,54.7,95.8,9.3,17.4,29.6,67.3,1964.0,367.1,33.4
20.4,44.6,38.0,9.3,15.2,30.0,91.0,649.0,245.1,26.5
19.6,103.8,122.0,10.7,15.9,30.4,81.6,1474.0,153.86,29.1
13.5,123.0,100.0,10.9,12.2,34.5,75.0,983.0,262.56,38.6
24.3,107.3,123.8,13.2,6.6,30.9,66.4,1045.0,133.33,27.1
20.8,93.6,120.2,7.4,8.9,36.1,93.0,1238.0,318.4,69.1
17.9,35.0,126.4,15.4,24.0,37.3,86.4,3079.0,1036.4,19.8
18.8,146.2,92.2,7.5,13.2,29.4,67.3,813.0,82.21,75.4
15.7,125.8,46.8,9.7,14.3,32.3,71.8,557.0,133.79,53.4
13.0,65.1,110.5,12.6,6.1,26.2,88.3,2650.0,363.71,15.0
14.7,147.6,104.5,16.9,5.8,27.6,84.3,833.0,214.4,15.4
21.1,102.2,119.1,16.1,19.3,30.4,86.8,894.0,327.65,56.2
9.2,99.9,50.4,14.7,15.8,27.7,75.4,1018.0,302.18,15.0
10.9,119.8,53.4,7.3,15.2,36.4,85.1,721.0,239.25,29.0
9.7,127.4,136.8,13.2,9.9,27.1,73.5,2214.0,371.82,19.9
9.7,108.8,120.0,6.3,19.9,30.9,67.4,2819.0,276.86,41.5
22.7,45.4,139.0,10.7,8.4,32.9,82.1,2802.0,371.77,15.0
20.3,70.6,121.0,11.2,8.8,34.0,94.2,2023.0,338.74,17.8
16.6,141.4,101.7,5.6,14.2,30.0,70.9,932.0,224.26,79.0
